window,ticker,timestamp,reason
O1,SBUX,2025-02-07 18:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AMZN,2025-02-10 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AVGO,2025-02-10 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,PYPL,2025-02-10 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,TSLA,2025-02-10 15:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,NVDA,2025-02-10 15:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ADBE,2025-02-10 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,INTU,2025-02-10 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,NFLX,2025-02-10 15:39:00+00:00,PARTICIPATION_INSUFFICIENT
O1,PANW,2025-02-10 15:54:00+00:00,PARTICIPATION_INSUFFICIENT
O1,COST,2025-02-10 15:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,HON,2025-02-10 18:54:00+00:00,PARTICIPATION_INSUFFICIENT
O1,QCOM,2025-02-10 19:09:00+00:00,PARTICIPATION_INSUFFICIENT
O1,COST,2025-02-11 15:09:00+00:00,PARTICIPATION_INSUFFICIENT
O1,HON,2025-02-11 15:09:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ADBE,2025-02-11 15:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,STX,2025-02-11 15:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AAPL,2025-02-11 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,SBUX,2025-02-11 15:25:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,AMD,2025-02-11 15:29:00+00:00,PARTICIPATION_INSUFFICIENT
O1,META,2025-02-11 15:29:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AVGO,2025-02-11 15:54:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ISRG,2025-02-11 15:56:00+00:00,PARTICIPATION_INSUFFICIENT
O1,CSCO,2025-02-11 15:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,INTU,2025-02-11 16:30:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,AMAT,2025-02-11 19:44:00+00:00,PARTICIPATION_INSUFFICIENT
O1,KLAC,2025-02-11 19:49:00+00:00,PARTICIPATION_INSUFFICIENT
O1,MDLZ,2025-02-12 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AMD,2025-02-12 15:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,HON,2025-02-12 15:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,MSFT,2025-02-12 15:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AMAT,2025-02-12 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ISRG,2025-02-12 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,META,2025-02-12 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,MU,2025-02-12 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,TSLA,2025-02-12 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,TXN,2025-02-12 15:39:00+00:00,PARTICIPATION_INSUFFICIENT
O1,NFLX,2025-02-12 16:44:00+00:00,PARTICIPATION_INSUFFICIENT
O1,COST,2025-02-12 16:49:00+00:00,PARTICIPATION_INSUFFICIENT
O1,KLAC,2025-02-12 16:54:00+00:00,PARTICIPATION_INSUFFICIENT
O1,PANW,2025-02-12 16:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,PYPL,2025-02-12 17:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ADI,2025-02-12 17:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,LRCX,2025-02-12 17:54:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AMZN,2025-02-12 18:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,INTC,2025-02-12 18:29:00+00:00,PARTICIPATION_INSUFFICIENT
O1,QCOM,2025-02-12 19:44:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ADBE,2025-02-12 19:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AMAT,2025-02-13 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,INTU,2025-02-13 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,STX,2025-02-13 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,TSLA,2025-02-13 15:09:00+00:00,PARTICIPATION_INSUFFICIENT
O1,NVDA,2025-02-13 15:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,NFLX,2025-02-13 15:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,REGN,2025-02-13 15:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AMZN,2025-02-13 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,TXN,2025-02-13 15:34:00+00:00,PARTICIPATION_INSUFFICIENT
O1,COST,2025-02-13 15:40:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,GOOGL,2025-02-13 15:40:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,MSFT,2025-02-13 15:40:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,ISRG,2025-02-13 15:49:00+00:00,PARTICIPATION_INSUFFICIENT
O1,MDLZ,2025-02-13 15:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,LRCX,2025-02-13 18:29:00+00:00,PARTICIPATION_INSUFFICIENT
O1,GILD,2025-02-13 18:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,HON,2025-02-13 19:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AAPL,2025-02-14 15:10:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,KLAC,2025-02-14 15:15:00+00:00,PARTICIPATION_INSUFFICIENT
O1,NVDA,2025-02-14 15:24:00+00:00,PARTICIPATION_INSUFFICIENT
O1,CSCO,2025-02-14 15:25:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,ISRG,2025-02-14 15:25:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,PYPL,2025-02-14 15:49:00+00:00,PARTICIPATION_INSUFFICIENT
O1,AVGO,2025-02-14 15:54:00+00:00,PARTICIPATION_INSUFFICIENT
O1,META,2025-02-14 15:59:00+00:00,PARTICIPATION_INSUFFICIENT
O1,ADI,2025-02-14 16:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,CMCSA,2025-02-14 16:44:00+00:00,PARTICIPATION_INSUFFICIENT
O1,PANW,2025-02-14 17:19:00+00:00,PARTICIPATION_INSUFFICIENT
O1,LRCX,2025-02-14 19:14:00+00:00,PARTICIPATION_INSUFFICIENT
O1,MDLZ,2025-02-18 15:04:00+00:00,PARTICIPATION_INSUFFICIENT
O1,CMCSA,2025-02-18 15:10:00+00:00,ESTIMATED_COST_OR_GEOMETRY_INFEASIBLE
O1,HON,2025-02-18 15:26:00+00:00,ACTUAL_FILL_COST_OR_GEOMETRY_INFEASIBLE
O1,BKNG,2025-02-18 15:27:00+00:00,PARTICIPATION_INSUFFICIENT
O1,SBUX,2025-02-18 15:34:00+00:00,PARTICIPATION_INSUFFICIENT
O1,GILD,2025-02-18 15:39:00+00:00,PARTICIPATION_INSUFFICIENT
O1,LRCX,2025-02-18 16:09:00+00:00,PARTICIPATION_INSUFFICIENT
